X,Y,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,STRZUSTAND,LINREFX,LINREFY,weight
10.644366355498,53.8585492679237,5307,1,0,3,0,2018,9,9,3,3,5,3,0,0,1,0,0,0,0,0,608148.0329,5969037.3783,40
10.6580024242254,53.8811948804175,5319,1,0,3,0,2018,9,12,7,3,5,3,0,1,1,0,0,0,0,0,608985.8896,5971577.4401,40
10.6353497593149,53.8413508576904,5327,1,0,3,0,2018,8,9,6,2,6,2,0,0,1,1,0,0,0,0,607599.1773,5967110.4505,70
10.6791120723569,53.8614518145653,5336,1,0,3,0,2018,8,10,4,3,2,2,0,0,1,0,0,0,0,0,610425.377,5969413.8005,40
10.6774591495971,53.8486978482248,5337,1,0,3,0,2018,8,10,2,3,0,6,0,0,0,0,0,0,1,0,610350.2363,5967992.4352,40
10.6922841200128,53.8817709311078,5344,1,0,3,0,2018,8,13,3,3,5,2,0,0,1,0,0,0,0,0,611237.61,5971694.753,40
10.6867717938155,53.851188491026,5345,1,0,3,0,2018,9,13,2,3,2,2,0,0,1,0,0,0,0,0,610956.2189,5968284.0276,40
10.6588620045027,53.8844337947945,5351,1,0,3,0,2018,9,17,4,3,5,3,0,0,1,0,1,0,0,0,609033.9584,5971939.0716,40
10.6717635480967,53.8690533633288,5362,1,0,3,0,2018,8,23,2,3,5,2,2,0,1,0,0,0,0,0,609922.2166,5970248.009,40
10.8045140624732,53.9117379430424,5366,1,0,3,0,2018,8,15,5,3,2,6,0,0,1,0,0,0,0,0,618529.159,5975210.2227,40
10.6804744065816,53.85650166095,5367,1,0,3,0,2018,7,21,2,3,5,2,0,1,1,0,0,0,0,0,610528.0088,5968865.2507,40
10.6605698829633,53.8684288510674,5374,1,0,3,0,2018,8,21,5,2,5,3,2,1,1,0,0,0,0,1,609187.8975,5970161.2457,70
10.6760769023739,53.8662738258999,5412,1,0,3,0,2018,8,15,7,3,2,6,0,1,1,0,0,0,0,0,610213.1123,5969945.497,40
10.6831930709209,53.8490751485177,5415,1,0,3,0,2018,9,15,6,3,2,2,0,0,1,0,0,0,0,0,610726.4087,5968043.3414,40
10.6620589419219,53.874656447768,5425,1,0,3,0,2018,9,18,6,3,2,6,0,0,1,0,0,0,0,1,609269.5632,5970856.3209,40
10.6673542518765,53.8770484225495,5431,1,0,3,0,2018,8,15,6,3,5,3,0,0,1,0,1,0,0,1,609611.409,5971130.585,40
10.7205276161621,53.9171092329336,5445,1,0,55,4,2018,9,15,5,3,7,7,0,0,0,0,0,1,0,0,612998.5398,5975670.576,40
10.7084626883435,53.8402394924573,5449,1,0,3,0,2018,8,14,5,3,5,2,0,1,1,0,0,0,0,0,612412.2566,5967100.1765,40
10.6885516032488,53.8830230097259,5450,1,0,3,0,2018,7,9,2,3,2,6,0,0,1,0,0,0,0,0,610988.9681,5971828.1902,40
10.7645705134866,53.8911009635287,5461,1,0,3,0,2018,7,6,2,3,0,7,0,1,0,0,0,0,0,0,615962.8769,5972848.4608,40
